ATAC_peak	RT	ATAC_OCT4.ON	ATAC_OCT4.OFF
ATAC22666	ES	2.08358	0.948007
ATAC22667	ES	1.76582	1.50443
ATAC22668	ES	1.42925	1.30389
ATAC22676	ES	0.969517	0.613898
ATAC22677	ES	0.9567	0.896195
ATAC22678	ES	1.42284	0.967046
ATAC22679	ES	2.80366	2.3906
ATAC22680	ES	0.940172	0.80396
ATAC22681	ES	1.16364	1.08663
ATAC22697	ES	1.19718	0.760526
ATAC22698	ES	1.51339	1.10101
ATAC22699	ES	1.43324	0.760667
ATAC22700	ES	1.42503	1.17348
ATAC22754	ES	1.57626	1.05376
ATAC22755	ES	2.03852	1.68977
ATAC22756	ES	0.81789	0.961667
ATAC22757	ES	0.801004	0.597625
ATAC22758	ES	1.79187	1.91256
ATAC22759	ES	1.86763	1.76027
ATAC22760	ES	2.47477	2.16229
ATAC22761	ES	1.01163	0.646639
ATAC22762	ES	1.42919	1.15722
ATAC22763	ES	1.64382	1.52631
ATAC22764	ES	1.89719	0.907231
ATAC22765	ES	2.85414	3.16205
ATAC22766	ES	1.24719	1.44982
ATAC22767	ES	1.62212	1.86084
ATAC22768	ES	0.902251	1.0867
ATAC22769	ES	2.16487	2.18145
ATAC22770	ES	0.834544	0.727839
ATAC22771	ES	0.914858	1.03781
ATAC21942	ES	0.906397	0.798815
ATAC22774	ES	3.13245	3.28452
ATAC22775	ES	0.868126	0.955701
ATAC22776	ES	0.742011	0.814979
ATAC21943	ES	2.07614	2.28712
ATAC21944	ES	2.28912	2.81423
ATAC22781	ES	1.37845	1.41239
ATAC22782	ES	1.96893	2.11344
ATAC22783	ES	0.868514	0.391176
ATAC22784	ES	2.17658	2.54691
ATAC22785	ES	0.771453	0.711664
ATAC21945	ES	1.60562	1.81924
ATAC22792	ES	1.02872	0.47273
ATAC22793	ES	1.98912	2.45451
ATAC22794	ES	1.16367	1.20617
ATAC22795	ES	2.29354	2.7491
ATAC22796	ES	1.14672	1.54844
ATAC21946	ES	1.4798	2.07553
ATAC21947	ES	1.1299	1.62447
ATAC22810	ES	1.17616	1.16259
ATAC21948	ES	0.897529	0.966643
ATAC22811	ES	1.0624	1.23872
ATAC22812	ES	1.5514	0.695451
ATAC22813	ES	0.830412	0.776842
ATAC22814	ES	1.15937	0.603042
ATAC22815	ES	1.43315	1.54802
ATAC22816	ES	1.36953	1.54766
ATAC22817	ES	0.763126	0.907231
ATAC22818	ES	1.25636	0.78773
ATAC22819	ES	0.788267	0.771382
ATAC22820	ES	2.85849	2.55357
ATAC22821	ES	1.60633	1.51056
ATAC22838	ES	1.78342	1.84189
ATAC22839	ES	2.05749	1.97541
ATAC22840	ES	3.23952	3.97637
ATAC22841	ES	1.78952	2.15119
ATAC22842	ES	0.977924	1.0429
ATAC22843	ES	0.83478	0.988974
ATAC22844	ES	1.00711	1.31426
ATAC22845	ES	0.796843	1.18438
ATAC22846	ES	2.22183	3.00991
ATAC22847	ES	2.92599	3.93363
ATAC22848	ES	1.43348	1.36924
ATAC22849	ES	0.725118	1.12444
ATAC22850	ES	0.834679	0.858385
ATAC22851	ES	0.777777	1.16267
ATAC22852	ES	1.58064	1.90119
ATAC22853	ES	3.40244	4.08581
ATAC22854	ES	0.940117	0.847497
ATAC22855	ES	2.00263	2.42863
ATAC22856	ES	1.26617	1.00706
